person_id,postcode,state,gender,age,account_type,loyal_customer
PID57,PC02,ST03,G01,[20-24],p_loan,false
PID68,PC000,ST01,G02,[30-34],debit,false
PID60,PC02,ST03,G01,[40-44],credit,true
PID04,PC01,ST02,G02,[30-34],credit,false
PID37,PC01,ST02,G02,[30-34],debit,false
PID46,PC000,ST01,G01,[20-24],debit,false
PID29,PC02,ST03,G01,[40-44],credit,true
PID32,PC000,ST01,G01,[20-24],credit,false
PID94,PC01,ST02,G02,[30-34],credit,false
PID52,PC02,ST03,G02,[50-54],credit,false
PID35,PC01,ST02,G02,[30-34],credit,false
PID64,PC01,ST02,G02,[30-34],credit,false
PID92,PC000,ST01,G01,[20-24],credit,false
PID02,PC000,ST01,G01,[20-24],credit,false
PID26,PC02,ST03,G02,[20-24],p_loan,false
PID44,PC000,ST01,G01,[40-44],debit,false
PID69,PC000,ST01,G02,[20-24],debit,true
PID36,PC01,ST02,G02,[30-34],credit,false
PID55,PC02,ST03,G02,[50-54],p_loan,false
PID14,PC000,ST01,G01,[40-44],debit,false
PID77,PC000,ST01,G01,[20-24],debit,false
PID38,PC000,ST01,G02,[30-34],debit,true
PID23,PC02,ST03,G02,[50-54],p_loan,false
PID41,PC000,ST01,G02,[20-24],debit,false
PID61,PC000,ST01,G01,[20-24],credit,false
PID75,PC000,ST01,G01,[40-44],debit,false
PID21,PC02,ST03,G02,[50-54],credit,false
PID08,PC000,ST01,G02,[30-34],debit,false
PID90,PC02,ST03,G01,[40-44],credit,false
PID20,PC02,ST03,G01,[50-54],credit,false
PID51,PC02,ST03,G02,[50-54],credit,false
PID19,PC02,ST03,G01,[20-24],credit,false
PID39,PC000,ST01,G02,[20-24],debit,false
PID63,PC000,ST01,G02,[30-34],credit,false
PID11,PC000,ST01,G02,[20-24],debit,false
PID43,PC000,ST01,G01,[40-44],debit,false
PID07,PC01,ST02,G02,[30-34],debit,false
PID85,PC02,ST03,G02,[50-54],p_loan,false
PID87,PC02,ST03,G01,[20-24],p_loan,false
PID13,PC000,ST01,G01,[40-44],debit,false
PID47,PC000,ST01,G01,[20-24],debit,false
PID22,PC02,ST03,G02,[50-54],credit,false
PID05,PC01,ST02,G02,[30-34],credit,false
PID78,PC02,ST03,G01,[20-24],credit,false
PID70,PC000,ST01,G02,[20-24],debit,false
PID71,PC000,ST01,G02,[20-24],debit,false
PID56,PC02,ST03,G02,[20-24],p_loan,false
PID83,PC02,ST03,G02,[50-54],p_loan,false
PID89,PC02,ST03,G01,[40-44],credit,false
PID73,PC000,ST01,G01,[40-44],debit,false
PID95,PC01,ST02,G02,[30-34],credit,false
PID12,PC000,ST01,G01,[20-24],debit,false
PID25,PC02,ST03,G02,[50-54],p_loan,false
PID42,PC000,ST01,G01,[20-24],debit,false
PID91,PC000,ST01,G01,[20-24],credit,false
PID50,PC02,ST03,G01,[50-54],credit,false
PID34,PC01,ST02,G02,[30-34],credit,false
PID53,PC02,ST03,G02,[50-54],p_loan,false
PID45,PC000,ST01,G01,[40-44],debit,false
PID03,PC000,ST01,G02,[30-34],credit,false
PID88,PC02,ST03,G01,[40-44],credit,false
PID58,PC02,ST03,G01,[40-44],credit,false
PID24,PC02,ST03,G02,[50-54],p_loan,false
PID33,PC000,ST01,G02,[30-34],credit,false
PID27,PC02,ST03,G01,[20-24],p_loan,false
PID17,PC000,ST01,G01,[20-24],debit,false
PID09,PC000,ST01,G02,[20-24],debit,false
PID49,PC02,ST03,G01,[20-24],credit,false
PID10,PC000,ST01,G02,[20-24],debit,false
PID06,PC01,ST02,G02,[30-34],credit,false
PID48,PC02,ST03,G01,[20-24],credit,false
PID86,PC02,ST03,G02,[20-24],p_loan,false
PID76,PC000,ST01,G01,[20-24],debit,false
PID80,PC02,ST03,G01,[50-54],credit,false
PID18,PC02,ST03,G01,[20-24],credit,false
PID97,PC01,ST02,G02,[30-34],debit,false
PID40,PC000,ST01,G02,[20-24],debit,false
PID54,PC02,ST03,G02,[50-54],p_loan,false
PID84,PC02,ST03,G02,[50-54],p_loan,false
PID72,PC000,ST01,G01,[20-24],debit,false
PID62,PC000,ST01,G01,[20-24],credit,false
PID59,PC02,ST03,G01,[40-44],credit,false
PID15,PC000,ST01,G01,[40-44],debit,false
PID79,PC02,ST03,G01,[20-24],credit,false
PID67,PC01,ST02,G02,[30-34],debit,false
PID74,PC000,ST01,G01,[40-44],debit,false
PID82,PC02,ST03,G02,[50-54],credit,false
PID30,PC02,ST03,G01,[40-44],credit,false
PID65,PC01,ST02,G02,[30-34],credit,false
PID99,PC000,ST01,G02,[20-24],debit,false
PID81,PC02,ST03,G02,[50-54],credit,false
PID98,PC000,ST01,G02,[30-34],debit,false
PID31,PC000,ST01,G01,[20-24],credit,false
PID93,PC000,ST01,G02,[30-34],credit,false
PID66,PC01,ST02,G02,[30-34],credit,false
